Přezdívka,Součet,du1,du2,du3,du4,du5,du6,du7,du8,du9,du10,du11,du12,pis1,pis2,pis3,pis4,pis5,pis6,pis7,pis8,pis9,pis10,pis11,pis12,Aktivita
Yero,"30,5",10,"6,5",3,,,,,,,,,,4,4,,,,,,,,,,,3
,0,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,
Violet,"29,5",6,"4,5",7,,,,,,,,,,4,6,,,,,,,,,,,2
,1,,,,,,,,,,,,,,,,,,,,,,,,,1
vymyslimpozdeji,"44,5",11,"9,5",13,,,,,,,,,,4,6,,,,,,,,,,,1
Marisia,"7,5",7,"0,5",,,,,,,,,,,,,,,,,,,,,,,
YORU,19,3,3,6,,,,,,,,,,1,5,,,,,,,,,,,1
Dodo2142,"23,5",9,"7,5",,,,,,,,,,,4,2,,,,,,,,,,,1
mojna,20,8,3,6,,,,,,,,,,1,2,,,,,,,,,,,
Otmič,"38,5",,"10,5","13,5",,,,,,,,,,"3,5",6,,,,,,,,,,,5
Filda,15,5,,5,,,,,,,,,,5,,,,,,,,,,,,
Anpo,"30,5",10,3,"8,5",,,,,,,,,,5,3,,,,,,,,,,,1
popk,22,10,3,8,,,,,,,,,,1,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,
málobodů,"32,5","5,5","3,5","11,5",,,,,,,,,,4,6,,,,,,,,,,,2
OS,"53,5",12,12,"12,5",,,,,,,,,,5,6,,,,,,,,,,,6
yuwaman,"20,5",4,,4,,,,,,,,,,5,"5,5",,,,,,,,,,,2
,0,,,,,,,,,,,,,,,,,,,,,,,,,
mira,32,10,2,"8,5",,,,,,,,,,"4,5",6,,,,,,,,,,,1
Ballin,41,11,"5,5",14,,,,,,,,,,"4,5",5,,,,,,,,,,,1
,0,,,,,,,,,,,,,,,,,,,,,,,,,
zazvonij,"12,5",3,"2,5",4,,,,,,,,,,0,2,,,,,,,,,,,1
